"id","sic_code","course_name","status","server"
408,"202299.1","Cheese natural",,
409,"202299.2","Cheese processed",,
410,"202301.0","Baby formulas",,
411,"202302.1","Condensed milk products",,
412,"202302.2","Concentrated milk products",,
413,"202302.3","Evaporated milk products",,
414,"202303.1","Dried and powdered milk",,
415,"202303.2","Milk products",,
416,"202399.1","Dry products",,
417,"202399.2","Condensed products",,
418,"202399.3","Evaporated products",,
419,"202401.1","Ice cream",,
420,"202401.2","Ice milk",,
421,"202402.0","Dairy based frozen desserts",,
422,"202403.0","Nondairy based frozen desserts",,
423,"202601.1","Milk",,
424,"202601.2","Cream.",,
425,"202602.1","Fermented milk products",,
426,"202602.2","Cultured milk products",,
427,"202602.3","Flavored milk products",,
428,"202699.0","Fluid milk",,
429,"203201.1","Beans",,
430,"203201.2","Bean sprouts",,
431,"203201.3","Beans canned",,
432,"203201.4","Beans jarred",,
433,"203202.1","Ethnic foods",,
434,"203202.2","Ethnic foods canned",,
435,"203202.3","Ethnic foods jarred",,
436,"203203.1","Soups canned jarred",,
437,"203203.2","Broths canned jarred",,
438,"203299.0","Canned specialties",,
439,"203301.1","Tomato products",,
440,"203301.2","Tomato in cans in jars",,
441,"203302.1","Jams",,
442,"203302.2","Jellies",,
443,"203302.3","Preserves",,
444,"203302.4","Jams jellies in cans in jars",,
445,"203303.1","Fruits",,
446,"203303.2","Fruit products",,
447,"203303.3","Fruits in cans in jars",,
448,"203304.3","Vegetables in cans in jars",,
449,"203401.1","Dried soup",,
450,"203401.2","Dehydrated soup mixes",,
451,"203402.0","Dried fruits",,
452,"203402.1","Dehydrated fruits",,
453,"203403.1","Dried vegetables",,
454,"203403.2","Dehydrated vegetables",,
455,"203501.1","Seasonings",,
456,"203501.2","Sauces",,
457,"203502.1","Pickled fruits",,
458,"203502.2","Pickled vegetables",,
459,"203701.1","Frozen fruits",,
460,"203701.2","Frozen vegetables",,
461,"203702.0","Fruit juices",,
462,"203899.0","Frozen specialties",,
463,"204101.0","Flour",,
464,"204102.1","Doughs",,
465,"204102.2","Batters",,
466,"204103.0","Flour mixes",,
467,"204199.0","Flour products",,
468,"204399.0","Cereal breakfast foods",,
469,"204499.0","Rice milling",,
470,"204501.1","Flours and flour mixes",,
471,"204501.2","Flours and flour mixes from purchased flour",,
472,"204502.1","Doughs and batters",,
473,"204502.2","Doughs and batters from purchased flour",,
474,"204601.1","Corn starches",,
475,"204601.2","Other vegetable starches",,
476,"204602.0","Corn oil products",,
477,"204603.1","Corn sugars",,
478,"204603.2","Corn syrups",,
479,"204604.0","Corn milling byproducts",,
480,"204799.1","Dog food",,
481,"204799.2","Cat food",,
482,"204801.1","Cereal based feeds",,
483,"204801.2","Grain based feeds",,
484,"204801.3","Seedbased feeds",,
485,"204802.1","Feeds from meat",,
486,"204802.2","Feeds from meat and vegetable meals",,
487,"204899.0","Prepared feeds",,
488,"205101.1","Breads",,
489,"205101.2","Rolls",,
490,"205101.3","Buns",,
491,"205102.1","Cakes",,
492,"205102.2","Pies",,
493,"205102.3","Pastries",,
494,"205199.1","Bread products",,
495,"205199.2","Cake products",,
496,"205199.3","Bread and cake related products",,
497,"205299.1","Cookies",,
498,"205299.2","Crackers",,
499,"205399.0","Frozen bakery products",,
500,"206101.0","Dry cane sugar products",,
501,"206102.0","Liquid cane sugar products",,
502,"206299.0","Cane sugar refining",,
503,"206301.0","Dry beet sugar products",,
504,"206302.0","Liquid beet sugar products",,
505,"206401.1","Fruit confections",,
506,"206401.2","Fruit peel confections",,
507,"206499.1","Candy products",,
508,"206499.2","Other confectionery products",,
509,"206601.0","Cacao vean processing",,
510,"206602.1","Cocoa",,
511,"206602.2","Cocoa products",,
512,"206603.0","Chocolate",,
513,"206799.0","Chewing gum",,
514,"206899.1","Salted nuts and seeds",,
515,"206899.2","Roasted nuts and seeds",,
516,"207499.0","Cottonseed oil mills",,
517,"207599.0","Soybean oil mills",,
518,"207699.0","Vegetable oil mills",,
519,"207701.1","Animal fats",,
520,"207701.2","Animal oils",,
521,"207701.3","Animal meals",,
522,"207702.1","Marine fats",,
523,"207702.2","Marine oils",,
524,"207702.3","Marine meals",,
525,"207703.0","Rendering",,
526,"207901.1","Margarine",,
527,"207901.2","Margarine oils",,
528,"207902.1","Shortening",,
529,"207902.2","Other solid edible fats",,
530,"207999.1","Edible fats",,
531,"207999.2","Edible oils",,
532,"208201.0","Malt beverage products",,
533,"208299.0","Malt beverages",,
534,"208399.0","Malt",,
535,"208401.0","Wines",,
536,"208402.1","Brandy",,
537,"208402.2","Brandy spirits",,
538,"208499.0","Wines",,
539,"208501.1","Distiller's alcohol dried grains",,
540,"208501.2","Distiller's alcohol solubles grains",,
541,"208502.0","Premixed alcoholic cocktails",,
542,"208599.1","Distilled liquors",,
543,"208599.2","Blended liquors",,
544,"208601.1","Iced tea bottled and canned",,
545,"208601.2","Fruit drinks bottled and canned",,
546,"208602.1","Pasteurized water bottled and canned",,
547,"208602.2","Mineral waters bottled and canned",,
548,"208603.0","Carbonated soft drinks bottled and canned",,
549,"208701.0","Food colorings",,
550,"208702.1","Beverage bases",,
551,"208702.2","Beverage concentrates",,
552,"208702.3","Syrups",,
553,"208702.4","Beverage powders",,
554,"208702.5","Beverage mixes.",,
555,"208799.1","Flavoring extracts",,
556,"208799.2","Flavoring syrups",,
557,"209101.1","Fish canned or packaged",,
558,"209101.2","Seafood soups canned or packaged",,
559,"209101.3","Stews canned or packaged",,
560,"209101.4","Chowders canned or packaged",,
561,"209102.1","Shellfish canned",,
562,"209102.2","Shellfish cured",,
563,"209103.1","Fish canned",,
564,"209103.2","Fish cured",,
565,"209199.1","Canned and cured fish",,
566,"209199.2","Canned and cured seafoods",,
567,"209201.1","Fresh or frozen fish",,
568,"209201.2","Fresh or frozen seafood chowders",,
569,"209201.3","Fish or seafood soups",,
570,"209201.4","Fish or seafood stews",,
571,"209202.1","Prepared fish cakes",,
572,"209202.2","Other seafood cakes",,
573,"209202.3","Seafood sticks",,
574,"209299.1","Fresh packaged fish",,
575,"209299.2","Frozen packaged fish",,
576,"209599.0","Roasted coffee",,
577,"209601.1","Potato chips",,
578,"209601.2","Other potatobased snacks",,
579,"209602.1","Corn chips",,
580,"209602.2","Other cornbased snacks",,
581,"209699.1","Potato chips",,
582,"209699.2","Similar snacks",,
583,"209799.0","Manufactured ice",,
584,"209899.1","Macaroni",,
585,"209899.2","Spaghetti",,
586,"209901.0","Syrups",,
587,"209902.1","Baking powder",,
588,"209902.3","Yeast",,
589,"209902.4","Other leavening agents",,
590,"209903.1","Dessert mixes",,
591,"209903.2","Dessert fillings",,
592,"209904.1","Seasonings",,
593,"209904.2","Spices",,
594,"209905.1","Sauce mixes",,
595,"209905.2","Gravy. mixes",,
596,"209905.3","Dressing mixes",,
597,"209905.4","Mixes",,
598,"209906.0","Sugar",,
599,"209907.1","Readytoeat meals",,
600,"209907.2","Salads",,
601,"209908.1","Combined Pasta",,
602,"209908.2","Combined rice",,
603,"209908.3","Combined potato",,
604,"209999.0","Food preparations",,
605,"21.0","TOBACCO PRODUCTS",,
606,"212199.0","Cigars",,
607,"213199.1","Chewing tobacco",,
608,"214199.2","Tobacco redrying",,
609,"22.0","TEXTILE MANUFACTURING PRODUCTS",,
610,"221101.1","Cotton sheets",,
611,"221101.2","Cotton bedding",,
612,"221101.3","Table cotton cloths",,
613,"221102.1","Cotton apparel fabrics",,
614,"221102.2","Cotton outerwear fabrics",,
615,"221103.1","Table towels",,
616,"221103.2","Table dishcloths",,
617,"221103.3","Table washcloths",,
618,"221104.1","Plushes broadwoven cotton",,
619,"221104.2","Piles broadwoven cotton",,
620,"221105.1","Cotton ribbed twills",,
621,"221105.2","Cotton ribbed drills",,
622,"221105.3","Cotton ribbed denims",,
623,"221105.4","Other ribbed fabrics",,
624,"221106.1","Cotton upholstery",,
625,"221106.2","Cotton tapestry",,
626,"221106.3","Cotton wall coverings",,
627,"221107.1","Cotton nets",,
628,"221107.3","Cotton fabrics",,
629,"221108.1","Cotton sheers",,
630,"221108.2","Other cotton thin lightweight fabrics",,
631,"221109.1","Cotton bandages",,
632,"221109.2","Cotton gauzes",,
633,"221109.3","Cotton surgical fabrics",,
634,"221110.1","Cotton linings",,
635,"221110.2","Cotton interlinings",,
636,"221111.1","Cotton canvas",,
637,"221111.2","Other cotton heavy coarse fabrics",,
638,"221112.1","Decorative trim",,
639,"221112.2","Specialty fabrics",,
640,"221112.3","Twist weave",,
641,"221113.1","Cotton crepes",,
642,"221113.2","Other crinkled texture fabrics",,
643,"221199.0","Cotton broadwoven fabric mills",,
644,"222101.1","Bedding. manmade fabric",,
645,"222101.2","Bedding silk fabric",,
646,"222102.1","Apparel manmade fiber or silk fabric",,
647,"222102.2","Outerwear manmade fiber or silk fabric",,
648,"222103.1","Silk",,
649,"222103.2","Satins",,
650,"222103.4","Crepes",,
651,"222104.1","Manmade broadwoven fabrics",,
652,"222104.2","Synthetic broadwoven fabrics",,
653,"222105.1","Glass broadwoven fabrics",,
654,"222105.2","Fiberglass broadwoven fabrics",,
655,"222106.1","Upholstery covering fabrics",,
656,"222106.2","Tapestry covering fabrics",,
657,"222106.3","Wall covering fabrics",,
658,"222107.0","Ribbed broadwoven fabrics",,
659,"222108.1","Plushes broadwoven fabrics",,
660,"222108.2","Piles broadwoven fabrics",,
661,"222109.1","Specialty broadwoven fabrics",,
662,"222109.2","Twisted weaves",,
663,"222199.0","Broadwoven manmade fabric mills",,
664,"223101.1","Apparel broadwoven fabrics",,
665,"223101.2","Outerwear broadwoven fabrics",,
666,"223102.1","Wool bleaching",,
667,"223102.2","Wool dying",,
668,"223102.3","Wool specialty treating",,
669,"223103.1","Wool felts fabrics",,
670,"223103.2","Wool blanketing fabrics",,
671,"223103.3","Wool upholstery fabrics",,
672,"223104.0","Animal fiberfabrics",,
673,"223199.0","Wool broadwoven fabric mills",,
674,"224101.1","Lace trim fabric",,
675,"224101.2","Decorative trim fabric",,
676,"224101.3","Narrow fabric",,
677,"224102.1","Rubber yarns and fabrics",,
678,"224102.2","Elastic yarns and fabrics",,
679,"224103.0","Fabric tapes",,
680,"224104.1","Webbing",,
681,"224104.2","Braids",,
682,"224104.3","Belting",,
683,"224199.0","Narrow fabric mills",,
684,"225199.0","Women's hosiery",,
685,"225201.1","Anklets",,
686,"225201.2","Socks",,
687,"225202.1","Tights",,
688,"225202.2","Leg warmers",,
689,"225299.0","Hosiery",,
690,"225301.1","Warm weather knit outerwear",,
691,"225301.2","Beachwear",,
692,"225302.1","Cold weather knit outerwear",,
693,"225302.2","Ski wear",,
694,"225303.1","Lounge wear",,
695,"225303.2","Bed wear",,
696,"225303.3","Leisure wear",,
697,"225304.1","Dresses",,
698,"225304.2","Skirts",,
699,"225305.1","Blouses",,
700,"225305.2","Shirts",,
701,"225305.3","Pants",,
702,"225305.4","Suits",,
703,"225399.0","Knit outerwear mills",,
704,"225401.1","Knit Shorts",,
705,"225401.2","Knit shirts",,
706,"225401.3","Knit slips",,
707,"225401.4","Knit panties",,
708,"225499.0","Knit underwear mills",,
709,"225799.0","Weft knit fabric mills",,
710,"225801.2","Lace",,
711,"225801.0","Lace products",,
712,"225802.1","Warp products",,
713,"225802.2","Flat Knit products",,
714,"225803.2","Netting products",,
715,"225899.1","Lace fabric mills",,
716,"225899.2","Warp knit fabric mills",,
717,"225901.1","Knit gloves",,
718,"225901.2","Knit gloves",,
719,"225902.1","Knit towels",,
720,"225902.2","Knit washcloths",,
721,"225902.3","Knit dishcloths",,
722,"225903.1","Knit curtains",,
723,"225903.2","Knit bedding",,
724,"225904.1","Knit girdles",,
725,"225904.2","Knit girdle blanks",,
726,"225999.0","Knitting mills",,
727,"226101.0","Printing of cotton broadwoven fabrics",,
728,"226102.1","Chemical coating of cotton broadwoven fabrics",,
729,"226102.2","Chemical treating of cotton broadwoven fabrics",,
730,"226103.0","Decorative finishing of cotton broadwoven fabrics",,
731,"226199.0","Cotton finishing plants",,
732,"226201.1","Printing manmade fiber",,
733,"226201.2","Silk broadwoven fabrics",,
734,"226203.0","Decorative finishing of manmade broadwoven fabrics",,
735,"226299.1","Finishing plants",,
736,"226901.0","Printing of narrow fabrics",,
737,"226902.0","Chemical coating or treating of narrow fabrics",,
738,"226903.0","Decorative finishing of narrow fabrics",,
739,"227301.1","Aircraft floor coverings",,
740,"227301.2","Automobile floor coverings",,
741,"227302.0","Mats and matting",,
742,"227303.0","Art squares",,
743,"227304.1","Carpets hand made",,
744,"227304.2","Carpets machine made",,
745,"227305.1","Rugs hand made",,
746,"227305.2","Rugs machine made",,
747,"227399.0","Carpets and rugs",,
748,"228101.1","Yarns spun for needle",,
749,"228101.2","Yarns spun for handicraft",,
750,"228102.1","Manmade spun yarns",,
751,"228102.2","Synthetic fiber spun yarns",,
752,"228103.1","Natural fiber spun yarns",,
753,"228103.2","Animal fiber spun yarns",,
754,"228104.1","Carpet spun yarns",,
