sic_code,course,status,server
029199.0,General farms primarily animals,nan,nan
07.0,AGRICULTURAL SERVICES,nan,nan
071199.0,Soil preparation services,nan,nan
072101.1,Orchard. Tree,nan,nan
072101.2,Vine services,nan,nan
072102.1,Sprout services,nan,nan
072102.2,Twig services,nan,nan
072103.0,Crop protecting services,nan,nan
072104.0,Crop cultivating services,nan,nan
072199.1,Crop planting,nan,nan
072199.2,Crop protection,nan,nan
072201.1,Cash grains services,nan,nan
072201.2,Machine harvesting services,nan,nan
072202.1,Fruit,nan,nan
072202.2,Tree nuts,nan,nan
072203.0,Field crops,nan,nan
072299.0,Crop harvesting,nan,nan
072301.1,Field crops,nan,nan
072301.2,Field crops market preparation services,nan,nan
072302.1,Cash grain crops,nan,nan
072302.2,Grain market preparation services,nan,nan
072303.1,Vegetable crops,nan,nan
072303.2,Vegetable market preparation services,nan,nan
072304.1,Fruit crops,nan,nan
072304.2,Fruit market preparation services,nan,nan
072305.1,Tree nut crops,nan,nan
072305.2,Tree nut market preparation services,nan,nan
072399.0,Crop market preparation services,nan,nan
072499.1,Cotton,nan,nan
072499.2,Cotton Ginning,nan,nan
074199.0,Veterinary services for livestock,nan,nan
074299.1,Veterinary services,nan,nan
074299.2,Veterinary specialties,nan,nan
075101.0,Cattle services,nan,nan
075102.0,Poultry services,nan,nan
075103.0,Sheep services,nan,nan
075104.0,Livestock reproduction services,nan,nan
075199.0,Livestock services,nan,nan
075201.0,Animal breeding services,nan,nan
075202.0,Animal boarding services,nan,nan
075203.0,Animal training services,nan,nan
075299.0,Animal specialty services,nan,nan
076199.0,Farm labor contractors,nan,nan
076299.0,Farm management services,nan,nan
078101.0,Horticulture services,nan,nan
078102.0,Landscape services,nan,nan
078201.0,Garden services,nan,nan
078299.1,Lawn services,nan,nan
078299.2,Garden services,nan,nan
078301.1,Planting services,nan,nan
078301.2,Pruning services,nan,nan
078301.3,Trimming services,nan,nan
078302.1,Bracing services,nan,nan
078302.2,Surgery services,nan,nan
078399.1,Ornamental shrub services,nan,nan
078399.2,Ornamental tree services,nan,nan
08.0,FORESTRY,nan,nan
081199.0,Timber.Tracts,nan,nan
083101.0,Gathering of forest products,nan,nan
083102.1,Gum extraction,nan,nan
083102.2,Gum distillation,nan,nan
083102.3,Resin extraction,nan,nan
083102.4,Resin distillation,nan,nan
083199.0,Forest products,nan,nan
085101.0,Forest management services,nan,nan
085199.0,Forestry services,nan,nan
09.0,FISHING HUNTING AND TRAPS,nan,nan
091299.0,Finfish,nan,nan
091301.0,Digging of shellfish,nan,nan
091302.0,Catching of shellfish,nan,nan
091901.1,Whale fishing,nan,nan
091901.2,Whale products,nan,nan
091999.0,Miscellaneous marine products,nan,nan
092199.1,Fish hatcheries,nan,nan
092199.2,Fish preserves,nan,nan
097101.0,Game services,nan,nan
097102.0,Hunting services,nan,nan
097199.1,Hunting,nan,nan
097199.2,Trapping,nan,nan
097199.3,Hunting propagation,nan,nan
10.0,METAL MINING,nan,nan
101101.0,Iron ore mining,nan,nan
101102.0,Iron ore preparation,nan,nan
102101.1,Copper ore mining,nan,nan
102101.2,Copper ore preparation,nan,nan
103101.0,Lead ores mining,nan,nan
103102.0,Zinc ores mining,nan,nan
104101.0,Gold ores mining,nan,nan
104102.0,Gold ores processing,nan,nan
104401.0,Silver ores mining,nan,nan
104402.0,Silver ores processing,nan,nan
106101.0,Chromium ores mining,nan,nan
106102.0,Manganese ores mining,nan,nan
106103.0,Molybdenum ores mining,nan,nan
106104.0,Tungsten ores mining,nan,nan
106199.0,Ferroalloy ores,nan,nan
108101.1,Metal mining exploration,nan,nan
108101.2,Metal development services,nan,nan
108199.0,Metal mining services,nan,nan
109499.1,Uranium ore,nan,nan
109499.2,Radium ore,nan,nan
109499.3,Vanadium ore,nan,nan
109901.1,Aluminum ore mining,nan,nan
109901.2,Beryllium ore mining,nan,nan
109903.0,Platinum group ores mining,nan,nan
109904.0,Rareearth ores mining,nan,nan
109905.1,Titanium ores mining,nan,nan
109905.2,Zirconium ores mining,nan,nan
109999.0,Metal ores,nan,nan
12.0,EXTRACTION OF BITUMINOUS COAL AND LIGNITE,nan,nan
122101.0,Bituminous coal surface mining,nan,nan
122102.1,Bituminous coal loading and preparation,nan,nan
122102.2,Lignite loading and preparation,nan,nan
122299.0,Bituminous coal underground,nan,nan
123101.1,Anthracite preparation,nan,nan
123101.2,Anthracite screening,nan,nan
123199.0,Anthracite mining,nan,nan
124101.1,Coal mining exploration,nan,nan
124101.2,Coal mining test boring,nan,nan
124102.0,Mine preparation services,nan,nan
124199.0,Coal mining services,nan,nan
13.0,OIL AND GAS EXTRACTION,nan,nan
131101.1,Crude petroleum production,nan,nan
131101.2,Natural gas production,nan,nan
131102.1,Gas liquefaction from coal,nan,nan
131102.2,Hydrocarbon liquefaction from coal,nan,nan
131103.1,Sand oil mining,nan,nan
131103.2,Shale oil mining,nan,nan
132199.0,Natural gas liquids,nan,nan
138199.1,Drilling oil wells,nan,nan
138199.2,Gas wells,nan,nan
138299.1,Oil exploration services,nan,nan
138299.2,Gas exploration services,nan,nan
138901.1,Construction services,nan,nan
138901.3,Dismantling services,nan,nan
138902.1,Testing services,nan,nan
138902.2,Measuring services,nan,nan
138903.1,Bailing of Wells,nan,nan
138903.2,Cleaning of Wells,nan,nan
138903.3,Swabbing of Wells,nan,nan
138903.4,Treating of Wells,nan,nan
138999.1,Oil field services,nan,nan
138999.2,Gas field services,nan,nan
14.0,EXTRACTION OF NONMETALLIC MINERALS EXCEPT FUELS,nan,nan
141101.1,Limestone dimension Stone,nan,nan
141101.2,Marble dimension stone,nan,nan
141102.0,Granite dimension stone,nan,nan
141103.0,Igneous dimension stone,nan,nan
141199.0,Dimension stone,nan,nan
142201.0,Limestones ground,nan,nan
142299.1,Crushed limestone,nan,nan
142299.2,Broken limestone,nan,nan
142399.1,Crushed granite,nan,nan
142399.2,Broken granite,nan,nan
142901.1,Igneous rock quarrying,nan,nan
142901.2,Crushed igneous rock quarrying,nan,nan
142901.3,Broken igneous rock quarrying,nan,nan
142999.1,Crushed Stone,nan,nan
142999.2,Broken stone,nan,nan
144201.0,Sand mining,nan,nan
144202.1,Gravel mining,nan,nan
144202.2,Pebble mining,nan,nan
144699.0,Industrial sand,nan,nan
145599.1,Kaolin clay,nan,nan
145599.2,Ball clay,nan,nan
145901.0,Clays,nan,nan
145902.0,Nonclay refractory minerals,nan,nan
145903.0,Feldspar mining,nan,nan
145999.1,Clay mineral,nan,nan
145999.2,Clay related minerals,nan,nan
147499.1,Potash mineral,nan,nan
147499.2,Soda mineral,nan,nan
147499.3,Borate mineral,nan,nan
147599.0,Phosphate rock,nan,nan
147901.0,Mineral pigment mining,nan,nan
147902.0,Pyrites mining,nan,nan
147903.1,Salt mining,nan,nan
147903.2,Sulfur mining,nan,nan
147904.0,Fertilizer mineral mining,nan,nan
147999.1,Chemical mining,nan,nan
147999.2,Fertilizer mining,nan,nan
148101.1,Nonmetallic minerals development,nan,nan
148101.2,Nonmetallic minerals test boring,nan,nan
148199.0,Nonmetallic mineral services,nan,nan
149901.1,Gemstone mining,nan,nan
149901.2,Industrial diamond mining,nan,nan
149902.0,Mica mining,nan,nan
149903.1,Gypsum mining,nan,nan
149903.2,Calcite mining,nan,nan
149904.0,Mineral abrasives mining,nan,nan
149905.0,Talc mining,nan,nan
149906.1,Peat mining,nan,nan
149906.2,Peat processing,nan,nan
149907.1,Asphalt mining,nan,nan
149907.2,Bituminous stone quarrying,nan,nan
149999.0,Miscellaneous nonmetallic minerals,nan,nan
15.0,BUILDING CONSTRUCTION GENERAL CONTRACTORS AND OPERATING BUILDERS,nan,nan
152101.1,Singlefamily home remodeling,nan,nan
152101.2,Singlefamily home additions,nan,nan
152101.3,Singlefamily home repairs,nan,nan
152199.0,Singlefamily housing construction,nan,nan
152201.1,Hotel/motel construction,nan,nan
152201.2,Multifamily home construction,nan,nan
152202.1,Hotel/motel renovation,nan,nan
152202.2,Hotel/motel remodeling,nan,nan
152202.3,Multifamily home renovation,nan,nan
152202.4,Multifamily home remodeling,nan,nan
153199.0,Operative builders,nan,nan
154199.1,Industrial buildings,nan,nan
154199.2,Industrial warehouses,nan,nan
154201.1,Commercial building contractors,nan,nan
154201.2,Office building contractors,nan,nan
154202.0,Agricultural building contractors,nan,nan
154203.1,Garage contractors,nan,nan
154203.2,Service station contractors,nan,nan
154204.0,Specialized public building contractors,nan,nan
154299.0,Nonresidential construction,nan,nan
16.0,HEAVY CONSTRUCTION OTHER THAN BUILDING CONSTRUCTION CONTRACTORS,nan,nan
161101.1,Highway signs,nan,nan
161101.2,Highway guardrails,nan,nan
161102.1,Surfacing,nan,nan
161102.2,Paving,nan,nan
161199.1,Highway construction,nan,nan
161199.2,Street construction,nan,nan
162299.1,Bridge,nan,nan
162299.3,Elevated highway,nan,nan
162301.1,Oil and gas line construction,nan,nan
162301.2,Compressor station construction,nan,nan
162302.1,Communication line construction,nan,nan
162302.2,Transmission tower construction,nan,nan
162303.1,Water line construction,nan,nan
162303.2,Sewer line construction,nan,nan
162399.1,Water line,nan,nan
162399.3,Utility line,nan,nan
162901.1,Dams construction,nan,nan
162902.1,Railroad construction,nan,nan
162902.2,Subway construction,nan,nan
162903.1,Athletic construction,nan,nan
162903.2,Recreation facilities construction,nan,nan
162904.0,Land preparation construction,nan,nan
162905.0,Industrial plant construction,nan,nan
162999.0,Heavy construction,nan,nan
171101.1,Boiler contractors,nan,nan
171102.0,Plumbing contractors,nan,nan
171103.0,Sprinkler contractors,nan,nan
171104.1,Heating contractors,nan,nan
171104.2,Air conditioning contractors,nan,nan
171199.1,Plumbing,nan,nan
171199.2,Heating,nan,nan
171199.3,Airconditioning,nan,nan
172101.0,Residential painting,nan,nan
172102.0,Commercial painting,nan,nan
172103.0,Industrial painting,nan,nan
172104.0,Wallcovering contractors,nan,nan
173101.0,Electric power systems contractors,nan,nan
173102.0,Electronic controls installation,nan,nan
173103.0,Communications specialization,nan,nan
173104.1,Safety specialization,nan,nan
173199.0,Electrical work,nan,nan
174101.1,Foundation construction,nan,nan
174101.2,Retaining wall construction,nan,nan
174199.0,Masonry,nan,nan
174199.1,Other stonework,nan,nan
174201.1,Plaster work,nan,nan
174201.2,Drywall work,nan,nan
174202.1,Acoustical work,nan,nan
174202.2,Insulation work,nan,nan
174399.1,Terrazzo work,nan,nan
175101.1,Cabinet carpentry,nan,nan
175101.2,Finish carpentry,nan,nan
175102.1,Window installation and erection,nan,nan
175102.2,Door installation and erection,nan,nan
175199.0,Carpentry work,nan,nan
175299.1,Floor laying,nan,nan
175299.2,Floor work,nan,nan
176101.0,Roofing work,nan,nan
176101.1,Gutter work,nan,nan
176199.1,Roofing work,nan,nan
176199.2,Siding work,nan,nan
176199.3,Sheetmetal work,nan,nan
177101.1,Stucco contractors,nan,nan
177101.2,Gunite contractors,nan,nan
177101.3,Grouting contractors,nan,nan
177102.0,Curb contractors,nan,nan
177102.1,Sidewalk contractors,nan,nan
177103.1,Driveway contractors,nan,nan
177103.2,Parking lot contractors,nan,nan
177103.3,Blacktop contractors,nan,nan
177199.0,Concrete work,nan,nan
178199.0,Water well drilling,nan,nan
179199.0,Structural Steel erection,nan,nan
179499.0,Excavation work,nan,nan
179599.1,Wrecking work,nan,nan
179599.2,Demolition work,nan,nan
179699.0,Installing building equipment,nan,nan
179901.1,Athletic facilities construction,nan,nan
179901.2,Recreation facilities construction,nan,nan
179902.1,Coating caulking,nan,nan
179902.2,Protection versus fireproofing,nan,nan
179903.0,Service station equipment,nan,nan
179904.1,Rigging,nan,nan
179904.2,Scaffolding,nan,nan
179905.1,Exterior cleaning,nan,nan
179905.2,Exterior sandblasting,nan,nan
179906.1,Home/office interiors finishing,nan,nan
179906.2,Home/office interiors furnishing,nan,nan
179906.3,Home/office interiors remodeling,nan,nan
179907.0,Parking facility equipment,nan,nan
179907.1,Parking facility maintenance,nan,nan
179908.0,Decontamination services,nan,nan
179909.0,Building site preparation,nan,nan
179999.0,Special trade contractors,nan,nan
20.0,FOOD AND RELATED PRODUCTS,nan,nan
201101.1,Beef products. from beef slaughtered on site,nan,nan
201102.0,Pork products. from pork slaughtered on site,nan,nan
201103.0,Lamb products from lamb slaughtered on site,nan,nan
201104.1,Meat byproducts,nan,nan
201104.2,Meat byproducts from meat slaughtered on site,nan,nan
201199.0,Meat packing plants,nan,nan
201301.1,Prepared beef products,nan,nan
201301.2,Prepared beef products from purchased beef,nan,nan
201302.1,Prepared pork products,nan,nan
201302.2,Prepared pork products from purchased pork,nan,nan
201303.1,Sausages and related products,nan,nan
201303.2,Sausages and related products from purchased meat,nan,nan
201399.0,Sausages and other prepared meats,nan,nan
201501.1,Chicken slaughtering,nan,nan
201501.2,Chicken processing,nan,nan
201502.1,Duck slaughtering,nan,nan
201502.2,Duck processing,nan,nan
201503.0,Egg processing,nan,nan
201504.1,Small game slaughtering,nan,nan
201504.2,Small game processing,nan,nan
201505.1,Geese slaughtering,nan,nan
201505.2,Geese processing,nan,nan
201506.1,Poultry slaughtering,nan,nan
201506.2,Poultry processing,nan,nan
201507.1,Rabbit slaughtering,nan,nan
201507.2,Rabbit processing,nan,nan
201508.1,Turkey processing,nan,nan
201508.2,Turkey slaughtering,nan,nan
201509.1,Poultry sausage l,nan,nan
201509.3,Other poultry products,nan,nan
202199.0,Creamery butter,nan,nan
202201.1,Cheese spreads,nan,nan
202201.2,Cheese dips,nan,nan
202201.3,Cheese pastes,nan,nan
202201.4,Other cheese products,nan,nan
202299.1,Cheese natural,nan,nan
202299.2,Cheese processed,nan,nan
202301.0,Baby formulas,nan,nan
202302.1,Condensed milk products,nan,nan
202302.2,Concentrated milk products,nan,nan
202302.3,Evaporated milk products,nan,nan
202303.1,Dried and powdered milk,nan,nan
202303.2,Milk products,nan,nan
202399.1,Dry products,nan,nan
202399.2,Condensed products,nan,nan
202399.3,Evaporated products,nan,nan
202401.1,Ice cream,nan,nan
202401.2,Ice milk,nan,nan
202402.0,Dairy based frozen desserts,nan,nan
202403.0,Nondairy based frozen desserts,nan,nan
202601.1,Milk,nan,nan
202601.2,Cream.,nan,nan
202602.1,Fermented milk products,nan,nan
202602.2,Cultured milk products,nan,nan
202602.3,Flavored milk products,nan,nan
202699.0,Fluid milk,nan,nan
203201.1,Beans,nan,nan
203201.2,Bean sprouts,nan,nan
203201.3,Beans canned,nan,nan
203201.4,Beans jarred,nan,nan
203202.1,Ethnic foods,nan,nan
203202.2,Ethnic foods canned,nan,nan
203202.3,Ethnic foods jarred,nan,nan
203203.1,Soups canned jarred,nan,nan
203203.2,Broths canned jarred,nan,nan
203299.0,Canned specialties,nan,nan
203301.1,Tomato products,nan,nan
203301.2,Tomato in cans in jars,nan,nan
203302.1,Jams,nan,nan
203302.2,Jellies,nan,nan
203302.3,Preserves,nan,nan
203302.4,Jams jellies in cans in jars,nan,nan
203303.1,Fruits,nan,nan
203303.2,Fruit products,nan,nan
203303.3,Fruits in cans in jars,nan,nan
203304.3,Vegetables in cans in jars,nan,nan
203401.1,Dried soup,nan,nan
203401.2,Dehydrated soup mixes,nan,nan
203402.0,Dried fruits,nan,nan
203402.1,Dehydrated fruits,nan,nan
203403.1,Dried vegetables,nan,nan
203403.2,Dehydrated vegetables,nan,nan
203501.1,Seasonings,nan,nan
203501.2,Sauces,nan,nan
203502.1,Pickled fruits,nan,nan
203502.2,Pickled vegetables,nan,nan
203701.1,Frozen fruits,nan,nan
203701.2,Frozen vegetables,nan,nan
203702.0,Fruit juices,nan,nan
203899.0,Frozen specialties,nan,nan
204101.0,Flour,nan,nan
204102.1,Doughs,nan,nan
204102.2,Batters,nan,nan
204103.0,Flour mixes,nan,nan
204199.0,Flour products,nan,nan
204399.0,Cereal breakfast foods,nan,nan
204499.0,Rice milling,nan,nan
204501.1,Flours and flour mixes,nan,nan
204501.2,Flours and flour mixes from purchased flour,nan,nan
204502.1,Doughs and batters,nan,nan
204502.2,Doughs and batters from purchased flour,nan,nan
204601.1,Corn starches,nan,nan
204601.2,Other vegetable starches,nan,nan
204602.0,Corn oil products,nan,nan
204603.1,Corn sugars,nan,nan
204603.2,Corn syrups,nan,nan
204604.0,Corn milling byproducts,nan,nan
204799.1,Dog food,nan,nan
204799.2,Cat food,nan,nan
204801.1,Cereal based feeds,nan,nan
204801.2,Grain based feeds,nan,nan
204801.3,Seedbased feeds,nan,nan
204802.1,Feeds from meat,nan,nan
204802.2,Feeds from meat and vegetable meals,nan,nan
204899.0,Prepared feeds,nan,nan
205101.1,Breads,nan,nan
205101.2,Rolls,nan,nan
205101.3,Buns,nan,nan
205102.1,Cakes,nan,nan
205102.2,Pies,nan,nan
205102.3,Pastries,nan,nan
205199.1,Bread products,nan,nan
205199.2,Cake products,nan,nan
205199.3,Bread and cake related products,nan,nan
205299.1,Cookies,nan,nan
205299.2,Crackers,nan,nan
205399.0,Frozen bakery products,nan,nan
206101.0,Dry cane sugar products,nan,nan
206102.0,Liquid cane sugar products,nan,nan
206299.0,Cane sugar refining,nan,nan
206301.0,Dry beet sugar products,nan,nan
206302.0,Liquid beet sugar products,nan,nan
206401.1,Fruit confections,nan,nan
206401.2,Fruit peel confections,nan,nan
206499.1,Candy products,nan,nan
206499.2,Other confectionery products,nan,nan
206601.0,Cacao vean processing,nan,nan
206602.1,Cocoa,nan,nan
206602.2,Cocoa products,nan,nan
206603.0,Chocolate,nan,nan
206799.0,Chewing gum,nan,nan
206899.1,Salted nuts and seeds,nan,nan
206899.2,Roasted nuts and seeds,nan,nan
207499.0,Cottonseed oil mills,nan,nan
207599.0,Soybean oil mills,nan,nan
207699.0,Vegetable oil mills,nan,nan
207701.1,Animal fats,nan,nan
207701.2,Animal oils,nan,nan
207701.3,Animal meals,nan,nan
207702.1,Marine fats,nan,nan
207702.2,Marine oils,nan,nan
207702.3,Marine meals,nan,nan
207703.0,Rendering,nan,nan
207901.1,Margarine,nan,nan
207901.2,Margarine oils,nan,nan
207902.1,Shortening,nan,nan
207902.2,Other solid edible fats,nan,nan
207999.1,Edible fats,nan,nan
207999.2,Edible oils,nan,nan
208201.0,Malt beverage products,nan,nan
208299.0,Malt beverages,nan,nan
208399.0,Malt,nan,nan
208401.0,Wines,nan,nan
208402.1,Brandy,nan,nan
208402.2,Brandy spirits,nan,nan
208499.0,Wines,nan,nan
208501.1,Distiller's alcohol dried grains,nan,nan
208501.2,Distiller's alcohol solubles grains,nan,nan
208502.0,Premixed alcoholic cocktails,nan,nan
208599.1,Distilled liquors,nan,nan
208599.2,Blended liquors,nan,nan
208601.1,Iced tea bottled and canned,nan,nan
208601.2,Fruit drinks bottled and canned,nan,nan
208602.1,Pasteurized water bottled and canned,nan,nan
208602.2,Mineral waters bottled and canned,nan,nan
208603.0,Carbonated soft drinks bottled and canned,nan,nan
208701.0,Food colorings,nan,nan
208702.1,Beverage bases,nan,nan
208702.2,Beverage concentrates,nan,nan
208702.3,Syrups,nan,nan
208702.4,Beverage powders,nan,nan
208702.5,Beverage mixes.,nan,nan
208799.1,Flavoring extracts,nan,nan
208799.2,Flavoring syrups,nan,nan
209101.1,Fish canned or packaged,nan,nan
209101.2,Seafood soups canned or packaged,nan,nan
209101.3,Stews canned or packaged,nan,nan
209101.4,Chowders canned or packaged,nan,nan
209102.1,Shellfish canned,nan,nan
209102.2,Shellfish cured,nan,nan
209103.1,Fish canned,nan,nan
209103.2,Fish cured,nan,nan
209199.1,Canned and cured fish,nan,nan
209199.2,Canned and cured seafoods,nan,nan
209201.1,Fresh or frozen fish,nan,nan
209201.2,Fresh or frozen seafood chowders,nan,nan
209201.3,Fish or seafood soups,nan,nan
209201.4,Fish or seafood stews,nan,nan
209202.1,Prepared fish cakes,nan,nan
209202.2,Other seafood cakes,nan,nan
209202.3,Seafood sticks,nan,nan
209299.1,Fresh packaged fish,nan,nan
209299.2,Frozen packaged fish,nan,nan
209599.0,Roasted coffee,nan,nan
209601.1,Potato chips,nan,nan
209601.2,Other potatobased snacks,nan,nan
209602.1,Corn chips,nan,nan
209602.2,Other cornbased snacks,nan,nan
209699.1,Potato chips,nan,nan
209699.2,Similar snacks,nan,nan
209799.0,Manufactured ice,nan,nan
209899.1,Macaroni,nan,nan
209899.2,Spaghetti,nan,nan
209901.0,Syrups,nan,nan
209902.1,Baking powder,nan,nan
209902.3,Yeast,nan,nan
209902.4,Other leavening agents,nan,nan
209903.1,Dessert mixes,nan,nan
209903.2,Dessert fillings,nan,nan
209904.1,Seasonings,nan,nan
209904.2,Spices,nan,nan
209905.1,Sauce mixes,nan,nan
209905.2,Gravy. mixes,nan,nan
209905.3,Dressing mixes,nan,nan
209905.4,Mixes,nan,nan
209906.0,Sugar,nan,nan
209907.1,Readytoeat meals,nan,nan
209907.2,Salads,nan,nan
209908.1,Combined Pasta,nan,nan
209908.2,Combined rice,nan,nan
209908.3,Combined potato,nan,nan
209999.0,Food preparations,nan,nan
21.0,TOBACCO PRODUCTS,nan,nan
212199.0,Cigars,nan,nan
213199.1,Chewing tobacco,nan,nan
214199.2,Tobacco redrying,nan,nan
22.0,TEXTILE MANUFACTURING PRODUCTS,nan,nan
221101.1,Cotton sheets,nan,nan
221101.2,Cotton bedding,nan,nan
221101.3,Table cotton cloths,nan,nan
221102.1,Cotton apparel fabrics,nan,nan
221102.2,Cotton outerwear fabrics,nan,nan
221103.1,Table towels,nan,nan
221103.2,Table dishcloths,nan,nan
221103.3,Table washcloths,nan,nan
221104.1,Plushes broadwoven cotton,nan,nan
221104.2,Piles broadwoven cotton,nan,nan
221105.1,Cotton ribbed twills,nan,nan
221105.2,Cotton ribbed drills,nan,nan
221105.3,Cotton ribbed denims,nan,nan
221105.4,Other ribbed fabrics,nan,nan
221106.1,Cotton upholstery,nan,nan
221106.2,Cotton tapestry,nan,nan
221106.3,Cotton wall coverings,nan,nan
221107.1,Cotton nets,nan,nan
221107.3,Cotton fabrics,nan,nan
221108.1,Cotton sheers,nan,nan
221108.2,Other cotton thin lightweight fabrics,nan,nan
221109.1,Cotton bandages,nan,nan
221109.2,Cotton gauzes,nan,nan
221109.3,Cotton surgical fabrics,nan,nan
221110.1,Cotton linings,nan,nan
221110.2,Cotton interlinings,nan,nan
221111.1,Cotton canvas,nan,nan
221111.2,Other cotton heavy coarse fabrics,nan,nan
221112.1,Decorative trim,nan,nan
221112.2,Specialty fabrics,nan,nan
221112.3,Twist weave,nan,nan
221113.1,Cotton crepes,nan,nan
221113.2,Other crinkled texture fabrics,nan,nan
221199.0,Cotton broadwoven fabric mills,nan,nan
222101.1,Bedding. manmade fabric,nan,nan
222101.2,Bedding silk fabric,nan,nan
222102.1,Apparel manmade fiber or silk fabric,nan,nan
222102.2,Outerwear manmade fiber or silk fabric,nan,nan
222103.1,Silk,nan,nan
222103.2,Satins,nan,nan
222103.4,Crepes,nan,nan
222104.1,Manmade broadwoven fabrics,nan,nan
222104.2,Synthetic broadwoven fabrics,nan,nan
222105.1,Glass broadwoven fabrics,nan,nan
222105.2,Fiberglass broadwoven fabrics,nan,nan
222106.1,Upholstery covering fabrics,nan,nan
222106.2,Tapestry covering fabrics,nan,nan
222106.3,Wall covering fabrics,nan,nan
222107.0,Ribbed broadwoven fabrics,nan,nan
222108.1,Plushes broadwoven fabrics,nan,nan
222108.2,Piles broadwoven fabrics,nan,nan
222109.1,Specialty broadwoven fabrics,nan,nan
222109.2,Twisted weaves,nan,nan
222199.0,Broadwoven manmade fabric mills,nan,nan
223101.1,Apparel broadwoven fabrics,nan,nan
223101.2,Outerwear broadwoven fabrics,nan,nan
223102.1,Wool bleaching,nan,nan
223102.2,Wool dying,nan,nan
223102.3,Wool specialty treating,nan,nan
223103.1,Wool felts fabrics,nan,nan
223103.2,Wool blanketing fabrics,nan,nan
223103.3,Wool upholstery fabrics,nan,nan
223104.0,Animal fiberfabrics,nan,nan
223199.0,Wool broadwoven fabric mills,nan,nan
224101.1,Lace trim fabric,nan,nan
224101.2,Decorative trim fabric,nan,nan
224101.3,Narrow fabric,nan,nan
224102.1,Rubber yarns and fabrics,nan,nan
224102.2,Elastic yarns and fabrics,nan,nan
224103.0,Fabric tapes,nan,nan
224104.1,Webbing,nan,nan
224104.2,Braids,nan,nan
224104.3,Belting,nan,nan
224199.0,Narrow fabric mills,nan,nan
225199.0,Women's hosiery,nan,nan
225201.1,Anklets,nan,nan
225201.2,Socks,nan,nan
225202.1,Tights,nan,nan
225202.2,Leg warmers,nan,nan
225299.0,Hosiery,nan,nan
225301.1,Warm weather knit outerwear,nan,nan
225301.2,Beachwear,nan,nan
225302.1,Cold weather knit outerwear,nan,nan
225302.2,Ski wear,nan,nan
225303.1,Lounge wear,nan,nan
225303.2,Bed wear,nan,nan
225303.3,Leisure wear,nan,nan
225304.1,Dresses,nan,nan
225304.2,Skirts,nan,nan
225305.1,Blouses,nan,nan
225305.2,Shirts,nan,nan
225305.3,Pants,nan,nan
225305.4,Suits,nan,nan
225399.0,Knit outerwear mills,nan,nan
225401.1,Knit Shorts,nan,nan
225401.2,Knit shirts,nan,nan
225401.3,Knit slips,nan,nan
225401.4,Knit panties,nan,nan
225499.0,Knit underwear mills,nan,nan
225799.0,Weft knit fabric mills,nan,nan
225801.2,Lace,nan,nan
225801.0,Lace products,nan,nan
225802.1,Warp products,nan,nan
225802.2,Flat Knit products,nan,nan
225803.2,Netting products,nan,nan
225899.1,Lace fabric mills,nan,nan
225899.2,Warp knit fabric mills,nan,nan
225901.1,Knit gloves,nan,nan
225901.2,Knit gloves,nan,nan
225902.1,Knit towels,nan,nan
225902.2,Knit washcloths,nan,nan
