sic_code,course_name,title,description,url,total_words
604(0026),Shadows,"Archived Final Report Summary - COCKPITCI (Cybersecurity on SCADA: risk prediction, analysis and reaction tools for Critical Infrastructures)","Cybersecurity on SCADA: risk prediction, analysis and reaction tools for Critical Infrastructures | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Cybersecurity on SCADA: risk prediction, analysi",https://cordis.europa.eu/project/id/285647/reporting,Total words: 9213 | Shadows: 1
604(0026),Shadows,SHADOWBANKING Monetary Policy and Shadow banking: global micro-evidence from ABCPs,Monetary Policy and Shadow banking: global micro-evidence from ABCPs | SHADOWBANKING | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Monetary Policy and Shadow banking,https://cordis.europa.eu/project/id/701732,Total words: 1462 | Shadows: 1
604(0026),Shadows,Archived Final Report Summary - GREENANOFILMS (Development and application of ultra-high resolution nano-organized films by self-assembly of plant-based materials for next generation opto- and bio-electronics),Development and application of ultra-high resolution nano-organized films by self-assembly of plant-based materials for next generation opto- and bio-electronics | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &a,https://cordis.europa.eu/project/id/603519/reporting,Total words: 15473 | Shadows: 1
604(0026),Shadows,Periodic Reporting for period 1 - SHADOWBANKING (Monetary Policy and Shadow banking: global micro-evidence from ABCPs),Monetary Policy and Shadow banking: global micro-evidence from ABCPs | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Monetary Policy and Shadow banking: global micro-evidence from ABCPs Mone,https://cordis.europa.eu/project/id/701732/reporting,Total words: 1812 | Shadows: 1
604(0026),Shadows,"Periodic Reporting for period 1 - ShadOmIC (Shadowing, Omega Limit Sets and Internal Chain Transitivity in Dynamical Systems)","Shadowing, Omega Limit Sets and Internal Chain Transitivity in Dynamical Systems | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Shadowing, Omega Limit Sets and Internal Chain Transitivity i",https://cordis.europa.eu/project/id/659291/reporting,Total words: 1864 | Shadows: 1
604(0026),Shadows,Periodic Reporting for period 2 - SHADOW (SHADOW: An exploration of the nature of informal economies and shadow practices in the former USSR region),SHADOW: An exploration of the nature of informal economies and shadow practices in the former USSR region | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 SHADOW: An exploration of the nature,https://cordis.europa.eu/project/id/778188/reporting,Total words: 1578 | Shadows: 1
604(0026),Shadows,Pioneering scalable quantum-to-classical conversion with quantum-enhanced shadows,quantum-enhanced shadows: scalable quantum-to-classical converters | q-shadows | Project | Fact Sheet | HORIZON | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results Horizon Europe quantum-enhanced shadows: sca,https://cordis.europa.eu/project/id/101117138,Total words: 1822 | Shadows: 14
604(0026),Shadows,ImagePlanetFormDiscs Imaging the Dynamical Imprints of Planet Formation in Protoplanetary Discs,Imaging the Dynamical Imprints of Planet Formation in Protoplanetary Discs | ImagePlanetFormDiscs | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Imaging the Dynamical,https://cordis.europa.eu/project/id/639889,Total words: 1648 | Shadows: 1
604(0026),Shadows,PROTOPLANETS Establishing a global observational view of the early stages of planet formation and evolution,Establishing a global observational view of the early stages of planet formation and evolution | PROTOPLANETS | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Establish,https://cordis.europa.eu/project/id/101002188,Total words: 1872 | Shadows: 1
604(0026),Shadows,Integrating Turkish Beyond East and West:  Developing and Documenting an Evolving Transcultural Musical Practice,Beyond East and West: Developing and Documenting an Evolving Transcultural Musical Practice | Integrating Turkish | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Beyon,https://cordis.europa.eu/project/id/648810,Total words: 1748 | Shadows: 1
604(0026),Shadows,"3D-SMoHC 3D SMART MODELS FOR HERITAGE CONSERVATION  An Open Science project for documentation, management and representation of Cultural Heritage","3D SMART MODELS FOR HERITAGE CONSERVATION An Open Science project for documentation, management and representation of Cultural Heritage | 3D-SMoHC | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … P",https://cordis.europa.eu/project/id/747046,Total words: 1455 | Shadows: 1
604(0026),Shadows,SHADOWS Unveiling the Shadows: Illuminating Late Pleistocene Human-Carnivore Interactions in Europe,Unveiling the Shadows: Illuminating Late Pleistocene Human-Carnivore Interactions in Europe | SHADOWS | Project | Fact Sheet | HORIZON | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results Horizon Europe Unveil,https://cordis.europa.eu/project/id/101163057,Total words: 1805 | Shadows: 5
604(0026),Shadows,"JETSET Launching, propagation and emission of relativistic jets from binary mergers and across mass scales","Launching, propagation and emission of relativistic jets from binary mergers and across mass scales | JETSET | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Launching,",https://cordis.europa.eu/project/id/884631,Total words: 1705 | Shadows: 1
604(0026),Shadows,DETECt Detecting Transcultural Identity in European Popular Crime Narratives,Detecting Transcultural Identity in European Popular Crime Narratives | DETECt | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Detecting Transcultural Identity in Euro,https://cordis.europa.eu/project/id/770151,Total words: 4027 | Shadows: 1
604(0026),Shadows,NewFunFiCO Fundamental Fields and Compact Objects: new opportunities,Fundamental Fields and Compact Objects: new opportunities | NewFunFiCO | Project | Fact Sheet | HORIZON | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results Horizon Europe Fundamental Fields and Compact Object,https://cordis.europa.eu/project/id/101086251,Total words: 2413 | Shadows: 1
604(0026),Shadows,"Periodic Reporting for period 1 - ReCOLLECTED (Recollected: History, Memory and Imagination in Contemporary Greek Comics and Graphic Novels)","Recollected: History, Memory and Imagination in Contemporary Greek Comics and Graphic Novels | HORIZON | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results Horizon Europe Recollected: History, Memory and Imagi",https://cordis.europa.eu/project/id/101067507/reporting,Total words: 1980 | Shadows: 2
604(0026),Shadows,The Shadow Knows: Using Shadows to Investigate the Structure of the Pretransitional Disk of HD 100453,"The Shadow Knows: Using Shadows to Investigate the Structure of the Pretransitional Disk of HD 100453 - IOPscience Skip to content IOP Science home Accessibility Help Search Search all IOPscience content Search Article Lookup Journals Journals list Browse more than 100 science journal titles Subject collections Read the very best research published in IOP journals Publishing partners Partner organisations and publications Open access IOP Publishing open access policy guide IOP Conference Series Read open access proceedings from science conferences worldwide Books Publishing Support Login IOPscience login / Sign Up The American Astronomical Society (AAS) , established in 1899 and based in Washington, DC, is the major organization of professional astronomers in North America. Its membership of about 7,000 individuals also includes physicists, mathematicians, geologists, engineers, and others whose research and educational interests lie within the broad spectrum of subjects comprising con",https://www.doi.org/10.3847/1538-4357/aa64da,Total words: 8856 | Shadows: 47
604(0026),Shadows,FAIRWork Flexibilization of complex Ecosystems using Democratic AI based Decision Support and Recommendation Systems at Work,Flexibilization of complex Ecosystems using Democratic AI based Decision Support and Recommendation Systems at Work | FAIRWork | Project | Fact Sheet | HORIZON | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Resu,https://cordis.europa.eu/project/id/101069499,Total words: 3001 | Shadows: 1
604(0026),Shadows,BIG Enhancing the research and innovation potential of Tecnico through Blockchain technologies and design Innovation for social Good,Enhancing the research and innovation potential of Tecnico through Blockchain technologies and design Innovation for social Good | BIG | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp,https://cordis.europa.eu/project/id/952226,Total words: 1964 | Shadows: 1
604(0026),Shadows,MUHAI Meaning and Understanding in Human-centric AI,Meaning and Understanding in Human-centric AI | MUHAI | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Meaning and Understanding in Human-centric AI Meaning and Underst,https://cordis.europa.eu/project/id/951846,Total words: 2301 | Shadows: 1
604(0026),Shadows,SUNDIAL SUrvey Network for Deep Imaging Analysis and Learning,SUrvey Network for Deep Imaging Analysis and Learning | SUNDIAL | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 SUrvey Network for Deep Imaging Analysis and Learning S,https://cordis.europa.eu/project/id/721463,Total words: 3690 | Shadows: 1
