sic_code,course_name,title,description,url,total_words
604(0006),Drawing,Periodic Reporting for period 2 - OurFuture (European Researchers' Night: Researchers' For a Better Future),European Researchers&#039; Night: Researchers&#039; For a Better Future | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 European Researchers&#039; Night: Researchers&#039; For a Better Futur,https://cordis.europa.eu/project/id/633243/reporting,Total words: 3651 | Drawing: 15
604(0006),Drawing,Periodic Reporting for period 4 - D3 (Interpreting Drawings for 3D Design),Interpreting Drawings for 3D Design | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Interpreting Drawings for 3D Design Interpreting Drawings for 3D Design Reporting Fact Sheet Reporting Res,https://cordis.europa.eu/project/id/714221/reporting,Total words: 1627 | Drawing: 16
604(0006),Drawing,"Archived Final Report Summary - FESSUD (Financialisation, economy, society and sustainable development.)","Financialisation, economy, society and sustainable development | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Financialisation, economy, society and sustainable development Content archived on",https://cordis.europa.eu/project/id/266800/reporting,Total words: 32135 | Drawing: 7
604(0006),Drawing,Archived Drawing in the Middle Ages,An official website of the European Union An official EU website How do you know? All official European Union website addresses are in the domain. See all EU institutions and bodies,https://cordis.europa.eu/article/id/173662-drawing-in-the-middle-ages,Total words: 32 | Drawing: 1
604(0006),Drawing,Archived Final Report Summary - DTIIMA (Drawing and the Transmission of Images and Ideas in the Middle Ages),Drawing and the Transmission of Images and Ideas in the Middle Ages | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Drawing and the Transmission of Images and Ideas in the Middle Ages Content ar,https://cordis.europa.eu/project/id/294033/reporting,Total words: 1329 | Drawing: 12
604(0006),Drawing,EUMEPLAT EUROPEAN MEDIA PLATFORMS: ASSESSING POSITIVE AND NEGATIVE EXTERNALITIES FOR EUROPEAN CULTURE,EUROPEAN MEDIA PLATFORMS: ASSESSING POSITIVE AND NEGATIVE EXTERNALITIES FOR EUROPEAN CULTURE | EUMEPLAT | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 EUROPEAN MEDIA,https://cordis.europa.eu/project/id/101004488,Total words: 3141 | Drawing: 1
604(0006),Drawing,Archived Final Report Summary - OPTS (OPtimization of a Thermal energy Storage system with integrated Steam Generator),OPtimization of a Thermal energy Storage system with integrated Steam Generator | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 OPtimization of a Thermal energy Storage system with integrated St,https://cordis.europa.eu/project/id/283138/reporting,Total words: 17239 | Drawing: 4
604(0006),Drawing,DLift Lifting Design Drawings to 3D,Lifting Design Drawings to 3D | DLift | Project | Fact Sheet | HORIZON | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results Horizon Europe Lifting Design Drawings to 3D Lifting Design Drawings to 3D Fact Sheet,https://cordis.europa.eu/project/id/101152624,Total words: 1958 | Drawing: 5
604(0006),Drawing,Archived Final Report Summary - SYBHEL (Synthetic Biology for Human Health: Ethical and Legal Issues),Synthetic Biology for Human Health: Ethical and Legal Issues | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Synthetic Biology for Human Health: Ethical and Legal Issues Content archived on 2024,https://cordis.europa.eu/project/id/230401/reporting,Total words: 16037 | Drawing: 2
604(0006),Drawing,Archived Final Report Summary - ADMAP-GAS (Unconventional (Advanced) Manufacturing Processes for Gas-Engine Turbine Components),Unconventional (Advanced) Manufacturing Processes for Gas-Engine Turbine Components | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Unconventional (Advanced) Manufacturing Processes for Gas-Engi,https://cordis.europa.eu/project/id/234325/reporting,Total words: 21015 | Drawing: 8
604(0006),Drawing,Archived Final Report Summary - RELIGARE (Religious Diversity and Secular Models in Europe – Innovative Approaches to Law and Policy),Religious Diversity and Secular Models in Europe – Innovative Approaches to Law and Policy | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Religious Diversity and Secular Models in Europe – Inno,https://cordis.europa.eu/project/id/244635/reporting,Total words: 25055 | Drawing: 3
604(0006),Drawing,Archived SMARTSKETCHES SMARTSKETCHES: A multimodal approach to improve usability in the early stages of product design,SMARTSKETCHES: A multimodal approach to improve usability in the early stages of product design | SMARTSKETCHES | Project | Fact Sheet | FP5 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP5 SMARTSKETCH,https://cordis.europa.eu/project/id/IST-2000-28169,Total words: 2102 | Drawing: 1
604(0006),Drawing,Periodic Reporting for period 1 - Field Ion Mass Spec (Field Ion Quadrupol-Mass Spectrometer),Field Ion Quadrupol-Mass Spectrometer | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Field Ion Quadrupol-Mass Spectrometer Field Ion Quadrupol-Mass Spectrometer Reporting Fact Sheet Reporti,https://cordis.europa.eu/project/id/717356/reporting,Total words: 2961 | Drawing: 9
604(0006),Drawing,Archived Final Report Summary - MELA (European Museums in an Age of Migrations),European Museums in an Age of Migrations | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 European Museums in an Age of Migrations Content archived on 2024-06-18 European Museums in an Age of Mig,https://cordis.europa.eu/project/id/266757/reporting,Total words: 12154 | Drawing: 7
604(0006),Drawing,Archived Intelligent systems for zero-defect products,Intelligent systems for zero-defect products | PRO2CONTROL Project | Results in Brief | FP6 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP6 On-line Control of Drawing and Blanking Processes and of Qua,https://cordis.europa.eu/article/id/86952-intelligent-systems-for-zerodefect-products,Total words: 1233 | Drawing: 5
604(0006),Drawing,Archived Final Report Summary - PRO2CONTROL (On-line Control of Drawing and Blanking Processes and of Quality of the Product by Fusion of Sensors and Artificial Vision Techniques),On-line Control of Drawing and Blanking Processes and of Quality of the Product by Fusion of Sensors and Artificial Vision Techniques | FP6 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP6 On-line Cont,https://cordis.europa.eu/project/id/17900/reporting,Total words: 2274 | Drawing: 9
604(0006),Drawing,Archived ETRE Interactive Pseudo Graphics Braille Printer with Erase Capability,Interactive Pseudo Graphics Braille Printer with Erase Capability | ETRE | Project | Fact Sheet | HS | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results HS Interactive Pseudo Graphics Braille Printer with Era,https://cordis.europa.eu/project/id/1021,Total words: 1566 | Drawing: 6
604(0006),Drawing,CGinsideNP Complexity Inside NP - A Computational Geometry Perspective,Complexity Inside NP - A Computational Geometry Perspective | CGinsideNP | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Complexity Inside NP - A Computational Geometr,https://cordis.europa.eu/project/id/757609,Total words: 1587 | Drawing: 1
604(0006),Drawing,MORE Multi-modal Optimisation for Road-space in Europe,Multi-modal Optimisation for Road-space in Europe | MORE | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Multi-modal Optimisation for Road-space in Europe Multi-modal,https://cordis.europa.eu/project/id/769276,Total words: 4766 | Drawing: 1
604(0006),Drawing,"Archived Final Report Summary - TEPSIE (The theoretical, empirical and policy foundations for building social innovation in Europe)","The theoretical, empirical and policy foundations for building social innovation in Europe | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 The theoretical, empirical and policy foundations for b",https://cordis.europa.eu/project/id/290771/reporting,Total words: 24780 | Drawing: 5
604(0006),Drawing,Archived Final Report Summary - EPOKS (European Patient Organizations in Knowledge Society),European Patient Organizations in Knowledge Society | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 European Patient Organizations in Knowledge Society Content archived on 2024-06-18 European Pa,https://cordis.europa.eu/project/id/230307/reporting,Total words: 13495 | Drawing: 3
